name,specialization,city,experience,rating,phone,email,formattedAddress
"Dr Faisal Mamsa","Psychiatrist","II Talwar.    Clifton",13,4.4,"03279-6427397","dr.faisal.mamsa412@diagnoai.com","Medilink Consulting Clinics                The Plaza, II Talwar.    Clifton ,"
"Col Dr Nadir Khan","Associate Professor Cardiology","Lahore",22,4.5,"03225-6457763","col.dr.nadir.khan820@diagnoai.com","Central Military Hospital (CMH)                  Cantt , Lahore"
"Dr Abc","Aesthetic and Cosmetic Dentistry","Islamabad",22,3.9,"03143-1225074","dr.abc213@diagnoai.com",", Islamabad"
"Dr Ain ul Ghazala","Consultant Gynecologist & Sonologist","Lahore",11,4.3,"03149-1823788","dr.ain.ul.ghazala750@diagnoai.com","Race View Clinic                Opposite To Services Hospital  Jail Raod , Lahore"
"Prof. Brig. Dr Arshad Chohan","ENT Specialist","Rawalpindi",13,4.6,"03771-4072944","prof..brig..dr.arshad.chohan804@diagnoai.com","Dr Chohan's ENT                Rafay Mall - 1st floor  Peshawar Road  , Rawalpindi"
"Dr Muhammad Haris Burki","Psychiatrist","Lahore",3,4.8,"03492-2635759","dr.muhammad.haris.burki574@diagnoai.com","Lahore Specialists Clinic                First Floor,Fazal Din Pharma Opposite Service Hospital,Jail Road,Lahore.  Jail Road , Lahore"
"Dr. Rizwan Taj","Psychiatrist","Islamabad",9,4.4,"03218-3537141","dr..rizwan.taj842@diagnoai.com","Citi Clinic                Basement Gondal Plaza, Near Citibank, Blue Area, Islamabad.   Blue Area , Islamabad"
"Brig. Dr Nadir Ali","Including Haemostasis and Thrombosis","Islamabad",14,4.5,"03640-3401153","brig..dr.nadir.ali663@diagnoai.com","Kulsum International Hospital                 Kulsum Plaza, 2020,   Jinnah Ave , Islamabad"
"Dr. Haris Mehmood","Dentist","Rawalpindi",6,4.3,"03634-2867608","dr..haris.mehmood113@diagnoai.com","Hassaan Dental Clinic                14th Linear Commercial  Bahria Town, Phase VIII , Rawalpindi"
"Dr Khawaja Sajid Aslam","Knee & Hip Replacement","Rawalpindi",10,5,"03328-9111192","dr.khawaja.sajid.aslam853@diagnoai.com","Pakistan International hospital                  Rawat , Rawalpindi"
"Consultant  Dr. Arsana Rizwan","Skin Specialists | Dermatologists","Islamabad",22,3.7,"03835-6602809","consultant..dr..arsana.rizwan359@diagnoai.com","Begum Akhtar Rukhsana Memorial Welfare Trust Hospital                 Bahria Town Phase VIII,Rawalpindi .Ph:(92-51)5705790-2  Phase 8 , Islamabad"
"Dr. Moazam Ayub","Nephrologist","Rawalpindi",18,4.8,"03870-9416375","dr..moazam.ayub738@diagnoai.com","Bahria Internaional Hospital                Phase-8  Bahria Town , Rawalpindi"
"Brig (R) Prof Dr M Babar Cheema","Diabetologists","Rawalpindi",11,4.5,"03845-4982403","brig..r..prof.dr.m.babar.cheema372@diagnoai.com","Race Course Clinic                296/3 - Race Course Road  Race Course Road , Cantt , Rawalpindi"
"Dr Farasat Ali Dogar","Psychiatrist","Lahore",21,4.6,"03666-3236123","dr.farasat.ali.dogar333@diagnoai.com","Willing Ways Clinic                71-ANear APWA College  Jail Road , Lahore"
"Dr Muhammad Shahid Mustafa","Psychiatrist","karachi",5,4.5,"03470-8932134","dr.muhammad.shahid.mustafa569@diagnoai.com","Neuro Care                Office # 804, 8th floor , Al-Khaleej Tower ,Shaheed millat road   Bahadurabad , karachi"
"Dr  Aurangzeb abbassi","Neuro & Spinal Surgeon","karachi",22,3.6,"03679-2193726","dr..aurangzeb.abbassi930@diagnoai.com","Neurospinal & Cancer Care Institute                100/1, Depot Lines, Mansfield Street   Saddar , karachi"
"Brig (R) Prof Dr Shahid Rasul","Cancer Specialist","Rawalpindi",24,4.7,"03928-4988017","brig..r..prof.dr.shahid.rasul321@diagnoai.com","Shaheen Health Plus                Mega Mall, Opposite AFIC   Saddar , Rawalpindi"
"Dr Tahir Chaudhry","Diabetes and General Medicine Expert","Lahore",12,4.3,"03187-2978077","dr.tahir.chaudhry474@diagnoai.com","Family Care medical Centre                281-B, Nargis Block  Allama Iqbal Town , Lahore"
"Dr. Imran Mahmood Khan","Child Specialist","Islamabad",8,4.4,"03531-3074393","dr..imran.mahmood.khan519@diagnoai.com","Clinics & Diagnostics Hospital                Near Allied Bank, Main double Road, G-13/1  G-13 , Islamabad"
"Dr. Muhammad Khawar Nazir","Skin Specialists | Dermatologists","Lahore",13,4,"03681-1255936","dr..muhammad.khawar.nazir122@diagnoai.com","Boston Aesthetics                 15-A Hali Road Gulberg 2, Lahore.Road behind Pace, Hafeez center & ChenOne is called Hali Road. Move towards Imam Bargah, Clinic is Adjacent to Gourmet Victoria Marquee.  Gulberg II , Lahore"
"Dr. Afaq Hussain Chishti","Paediatric Medicine","Multan",19,4.8,"03116-3920801","dr..afaq.hussain.chishti899@diagnoai.com","South Punjab Clinics & Hospital                Chungi #1, Soraj Miani Road,Multan  Near chungi #1, soraj Miani Road,Multan , Multan"
"Dr. Deeba Sattar Khan","Skin Specialists | Dermatologists","Rawalpindi",3,4.9,"03892-6244556","dr..deeba.sattar.khan879@diagnoai.com","Jinnah Memorial Hospital                2 A, Opposite Punjab House  Civil Lines , Rawalpindi"
"Dr. Shahbaz Hanif Mehr","Urologist","Islamabad",7,4.6,"03371-3823451","dr..shahbaz.hanif.mehr926@diagnoai.com","Ali Medical Centre                Near Islamabad Kachahri  F-8 Markaz (Main) , Islamabad"
"Brigadier (R) Dr Mirza Khizer Hameed","ENT Specialist","Rawalpindi",23,4.1,"03404-9230097","brigadier..r..dr.mirza.khizer.hameed61@diagnoai.com","Maryam Memorial Hospital                Westridge  Peshawar Road , Rawalpindi"
"Dr. Najeeb Alam Khan","Medical Specialist","Islamabad",20,3.7,"03202-6836390","dr..najeeb.alam.khan768@diagnoai.com","Alam Hospital                Nasir Plaza, Lehtrar Rd, Khanna Dak, Islamabad.  Khanna Pul , Islamabad"
"Dr. Rizwan Sheikh","ENT Specialist","Rawalpindi",8,5,"03284-6313738","dr..rizwan.sheikh153@diagnoai.com","Siddiq Hospital                Near Asghar Mall Chowk  Asghar Mall Road , Rawalpindi"
"Prof Dr Mazhar Ur Rehman","Cardiologists","Lahore",21,4.1,"03273-9019807","prof.dr.mazhar.ur.rehman797@diagnoai.com","Heart & Lungs - Surgery Clinic                32-T, Gulberg-II,off M.M. Alam Road,Lahore.  Gulberg-II , Lahore"
"Dr. Waseem Sarwar Malghani","Gastroenterology","Multan",16,3.8,"03747-3065678","dr..waseem.sarwar.malghani127@diagnoai.com","Medicare Hospital                  62-A Abdali Road, Multan.  Abdali Road , Multan"
"Professor Dr Khurshid Alam","ENT Specialist","Lahore",23,4.9,"03899-4517850","professor.dr.khurshid.alam670@diagnoai.com","Doctors Hospital & Medical Centre                Johar Town, Block G1,  Lahore  Johar Town , Lahore"
"Dr Fahad Mustafa","Root Canal Treatment","Rawalpindi",23,4.3,"03217-8686506","dr.fahad.mustafa248@diagnoai.com","Fahad Dental Square                Chaklala scheme 3 Market   , Rawalpindi"
"Prof Muhammad Rashid Zia","ENT Specialist","Lahore",18,4.8,"03598-3375889","prof.muhammad.rashid.zia886@diagnoai.com","Hameed Latif Hospital                14- Abu Baker Block New Garden Town, Lahore  New Garden Town , Lahore"
"Dr Naeem Liaqat","Paediatric","Rawalpindi",8,4.7,"03249-3341781","dr.naeem.liaqat115@diagnoai.com","Medicare Hospital                Said Pur road   , Rawalpindi"
"Dr NAEEM AMJAD","General Physician","Multan",7,4.8,"03231-6236551","dr.naeem.amjad261@diagnoai.com","Spring Hospital                Opposite Madni Park   , Multan"
"Prof Azam Samdani","Skin Specialists | Dermatologists","karachi",13,3.6,"03751-7234196","prof.azam.samdani431@diagnoai.com","Skin Solutions                Horizon Vista, Mezzanine Floor.Opposite Dolmen Mall Clifton Block: 4, Karachi.  Clifton  , karachi"
"Dr Muhammad Ashraf Sultan","Pediatricians","Lahore",19,3.8,"03159-8364702","dr.muhammad.ashraf.sultan801@diagnoai.com","Mid City Hospital                3-A Shadman II, Jail Road Opposite Kinaird College, Lahore.  Shadman  , Lahore"
"Dr  Javaid Iqbal","Diabetes and Endocrine","Lahore",7,3.9,"03700-2678422","dr..javaid.iqbal921@diagnoai.com","Diabetic’s Institute of Pakistan                71/A-1, Near Apwa college  Jail Road , Lahore"
"Brig(r) Dr Z.M Raahat","ENT Specialist","Lahore",17,4,"03791-4178366","brig.r..dr.z.m.raahat201@diagnoai.com","SURGIMED HOSPITAL                1 ZAFAR ALI ROADNEAR LAHORE GYM-KHANA  Cantt , Lahore"
"Dr. Azhar Biabani","Dentist","Rawalpindi",5,4.8,"03412-7677793","dr..azhar.biabani807@diagnoai.com","Begum Akhtar Rukhsana Memorial Welfare Trust                Dental Surgery Department Bahria Town Phase - VIII, Rawalpindi.  Bahria Town Phase - VIII , Rawalpindi"
"Dr Shahid Sami","Cardiologists","karachi",21,3.7,"03685-1833380","dr.shahid.sami816@diagnoai.com","South City Hospital                Street 1, Block 3, Sharah-e-Firdous, Clifton,Karachi.	  Clifton , karachi"
"Dr Prof Javed Haider Rizvi","Gynecologists","karachi",17,4.1,"03780-5434085","dr.prof.javed.haider.rizvi581@diagnoai.com","South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton.  Clifton , karachi"
"Dr Muhammad Arshad","Assistant Professor ENT and Head & Neck Surgery","Rawalpindi",4,4.7,"03298-9136231","dr.muhammad.arshad0@diagnoai.com","Allied ENT Hospital                  Said pur Road , Rawalpindi"
"Dr. Tariq Jalisi","E.N.T Specialist","karachi",21,4.3,"03308-9852144","dr..tariq.jalisi616@diagnoai.com","Darus Sehat Hospital                  Gulistan-e-Jauhar , karachi"
"Dr Nasheed Baig","ENT Specialist","Rawalpindi",12,4.8,"03681-4419129","dr.nasheed.baig582@diagnoai.com","Maryam Memorial hospital                  Peshawar Rd , Rawalpindi"
"Prof. Manzoor Ahmad","Head & Neck Surgeon","Lahore",7,3.9,"03343-3947677","prof..manzoor.ahmad341@diagnoai.com","Rite Aid Medical Centre                685-Shadman-1 ,Opposite Fatima Memorial Hospital.   , Lahore"
"Dr. Zafarullah khan","Allergy Specialist/ otorhinolaryngist","Islamabad",8,3.5,"03223-4432705","dr..zafarullah.khan899@diagnoai.com","PAF Hospital                Sector E9 islamabad   Same , Islamabad"
"Dr. Muhammad Aamir Khan","Cardiologists","Rawalpindi",18,4.2,"03492-2024324","dr..muhammad.aamir.khan253@diagnoai.com","Armed Forces Institute of Cardiology.                Peshawar Rd, Rawalpindi.    Peshawar Rd , Rawalpindi"
"Dr. Muhammad Tariq Farman","Cardiologists","karachi",21,4.6,"03299-6405233","dr..muhammad.tariq.farman629@diagnoai.com","Medicare Hospital & Clinic                 Al-Khaleej Tower, Shaheed-e-Millat Road, Karachi.   Shaheed-e-Millat Road , karachi"
"Brig Dr Shahid Aziz","General Physician","Rawalpindi",13,3.7,"03937-5314333","brig.dr.shahid.aziz487@diagnoai.com","Dr Aziz Clinic                2nd Floor Rafar Mall  Peshawar Road , Rawalpindi"
"Dr Saulat Fatimi","Cardiologists","karachi",6,4.7,"03448-9372435","dr.saulat.fatimi558@diagnoai.com","Aga Khan University Hospital                Karachi.  Stadium Road , karachi"
"Dr Arshad Chohan","Gynecologists","Lahore",12,3.5,"03916-6462747","dr.arshad.chohan748@diagnoai.com","Fatima Memorial Hospital                Jail Rd Shadman, Lahore.  Shadman , Lahore"
"Dr. Naveed Arshad Khokhar","Dentist","Rawalpindi",10,4.7,"03248-8625670","dr..naveed.arshad.khokhar35@diagnoai.com","Armed Forces Institute of Cardiology                Peshawar Rd, Rawalpindi.  Peshawar Road  , Rawalpindi"
"Dr. Muhammad Musharaf Baig","ENT Specialist","Rawalpindi",20,4,"03962-8095829","dr..muhammad.musharaf.baig810@diagnoai.com","Bilal Hospital                 38-A, Satellite Town, Sadiqabad Road.  Satellite Town , Rawalpindi"
"Dr Tahira Yasmeen Naru","Gynecologists","karachi",15,4.2,"03882-8476632","dr.tahira.yasmeen.naru57@diagnoai.com","The Aga Khan University hospital                AKUH Consulting 4 Clinic, Stadium Road, Karachi.  Stadium Road , karachi"
"Dr. Navaid Akhtar","Pain Management","karachi",16,4.6,"03915-8001425","dr..navaid.akhtar8@diagnoai.com","Patel Hospital                St.-18, Block-4.  Gulshan-e-Iqbal , karachi"
"Dr. Sumaira Abdullah","Skin Specialists | Dermatologists","Islamabad",10,4.2,"03934-2665463","dr..sumaira.abdullah0@diagnoai.com","Dr Sumaira's Skin Care                IDC, 12 Medical Square G 8 Markaz, Islamabad.  G-8 , Islamabad"
"Dr Aamir Hameed Khan","Cardiologists","karachi",10,4.8,"03838-2856683","dr.aamir.hameed.khan751@diagnoai.com","The Aga Khan University Hospital                CC Nazerali Walji-2 , Karachi.  Walji-2 , karachi"
"Dr Raja Pervaiz Akhtar","Cardiologists","Lahore",8,4.8,"03458-6149385","dr.raja.pervaiz.akhtar176@diagnoai.com","Shaukat Khanum Memorial Cancer Hospital and Research Centre                7A Block R-3,، M.A. Johar Town, Lahore.   Johar Town , Lahore"
"Dr Shaheen Zafar","Gynecologists","karachi",10,4.1,"03520-9526380","dr.shaheen.zafar339@diagnoai.com","Liaquat National Hospital                 WASC OPD No. 04 , L.N.H., National Stadium Road, karachi.   National Stadium Road , karachi"
"Professor Mohammad Rehman","Cardiologists","Peshawar",21,4,"03872-1512978","professor.mohammad.rehman397@diagnoai.com","Rehman Medical Institute                 5/B-2 Hayatabad, Phase-V , Peshawar.  Hayatabad  , Peshawar"
"Dr Muhammad Irfan Anwar","Skin Specialists | Dermatologists","karachi",10,4.2,"03617-9788298","dr.muhammad.irfan.anwar917@diagnoai.com","PNS Shifa Hospital                BUMDC  DHA Phase 2  , karachi"
"DR Adeel Ahmed Khan","Community Medicine consultant","karachi",23,3.7,"03823-8157766","dr.adeel.ahmed.khan71@diagnoai.com","The Aga Khan University Hospital                CC Ibn-e-Zuhr -1, Karachi.  Ibn-e-Zuhr , karachi"
"Dr. Muhammad Khalid Niaz","General Practitioner","Lahore",22,4.6,"03685-6764882","dr..muhammad.khalid.niaz532@diagnoai.com","Dr. Khalid Clinic                100 A/2 Gulberg III Lahore.   Gulberg III  , Lahore"
"Dr Anjum Jameel Asghar","Skin Specialists | Dermatologists","Islamabad",3,4.1,"03370-4261272","dr.anjum.jameel.asghar198@diagnoai.com","717, St 82, I – 8/4, Islamabad.  I-8 , Islamabad"
"Dr. Mirza Mudassar Baig","Skin Specialists | Dermatologists","Lahore",11,4.5,"03852-3313269","dr..mirza.mudassar.baig840@diagnoai.com","Mudassar medical & laser skin care associates                 Eden value homes c block street 22 house 5 Multan road.  Thokar Niaz Baig , Lahore"
"Lt Col Dr  Shahid Mahmud","Child Specialist","karachi",17,4.9,"03498-7139155","lt.col.dr..shahid.mahmud814@diagnoai.com","CMH Hospital                  Cantt , karachi"
"Dr Syed Imtiaz Ali","Urologists","karachi",13,4.1,"03746-5975690","dr.syed.imtiaz.ali643@diagnoai.com","Ashfaq Memorial Hospital                 Gulshan-e-Iqbal,Main University Road,Karachi.   Gulshan-e-Iqbal , karachi"
"Prof. Dr Abdul Gaffar Billoo","Pediatricians","karachi",16,3.8,"03839-8175902","prof..dr.abdul.gaffar.billoo642@diagnoai.com","Memon Medical Institute Hospital                Hyder Buksh Gabol Road,Safoora Goth, Karachi.  Safoora Goth , karachi"
"Dr Sajid Dhakam","Cardiologists","karachi",19,3.9,"03586-1259857","dr.sajid.dhakam842@diagnoai.com","South City Hospita                Street 1, Block 3, Sharah-e-Firdous, Clifton, Karachi.   Clifton , karachi"
"Dr Tehmina Javed","Gynecologists","Lahore",13,4.6,"03353-5500126","dr.tehmina.javed229@diagnoai.com","Kanan Clinic                Aiwan-I-Tajarat RoadOpposite Bagh-e-JinnahLahore.  Aiwan-i-Tajarat Road , Lahore"
"Dr. Nauman Ahmad Gill","Hair Transplant Surgeon","Lahore",15,3.7,"03647-8744266","dr..nauman.ahmad.gill100@diagnoai.com","Laser Praxis,                 50 D-1/A, off M. M. Alam Road, Gulberg III, Lahore.  Gulberg 3 , Lahore"
"Dr Muhammad Irfan Nazir","Urologists","Lahore",12,4.9,"03495-2606925","dr.muhammad.irfan.nazir353@diagnoai.com","WILCARE Cardiovascular & Endocrine Center of Excellence                Model Town Extension, Lahore.  Model Town Extension , Lahore"
"Dr Jahan Ara","Gynecologists","Lahore",4,4.7,"03118-6256894","dr.jahan.ara519@diagnoai.com","Mid City Hospital                3-A Shadman II, Jail RoadOpposite Kinaird College, Lahore , Pakistan.  Shadman  , Lahore"
"Dr Sajjad Ali","ENT Specialist","Mardan",6,4,"03556-2003593","dr.sajjad.ali718@diagnoai.com","Private Clinic                   Hoti Chowk , Mardan"
"Gynaecologist laparoscopic lady Surgeon Dr Rehana Iftikhar","Gynecologists","Fatima Medical Complex Daska                Main Circular Road Daska  Daska",5,5,"03571-4238441","gynaecologist.laparoscopic.lady.surgeon.dr.rehana.iftikhar399@diagnoai.com","Fatima Medical Complex Daska                Main Circular Road Daska  Daska ,"
"Dr.  Waqas Mehdi","Neurosurgeon","Lahore",19,4.9,"03197-2321365","dr...waqas.mehdi295@diagnoai.com","Punjab Medical Center                5 Jail Road, Lahore.  Jail Road , Lahore"
"Prof. Dr. Azer Rasheed","Skin Specialists | Dermatologists","Peshawar",10,5,"03744-6231672","prof..dr..azer.rasheed781@diagnoai.com","Habib Medical Complex                , Peshawar.Mon to Fri 4.00 PM to 7.00 PM  Dabgari Garden , Peshawar"
"Dr. Sameer Qureshi","ENT Specialist","karachi",16,3.6,"03895-4987923","dr..sameer.qureshi350@diagnoai.com","South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton, Karachi.  Clifton , karachi"
"Dr Badr S. Dhanani","Skin Specialists | Dermatologists","karachi",14,4.1,"03435-1370216","dr.badr.s..dhanani398@diagnoai.com","DHA Medical Centre                 P-38 / A, 10th Street, Khayaban-e-Rahat, Street # 10, Phase-VI, DHA, Karachi.  DHA , karachi"
"Muhammad Saleem Ghauri","Skin Specialists | Dermatologists","Faisalabad",20,4.1,"03829-5651858","muhammad.saleem.ghauri577@diagnoai.com","Social Security Hospital                Madina Town,susan Road, Faisalabad.    , Faisalabad"
"Dr. Fahd Khalid","Dentist","Islamabad",17,4.4,"03474-2261369","dr..fahd.khalid369@diagnoai.com","Dental Profiles Clinic                170-B, Street 68, F-10/3, Islamabad.  F-10 , Islamabad"
"Dr. Aftab Ahmed Memon","ENT Specialist","karachi",11,3.9,"03984-7780549","dr..aftab.ahmed.memon655@diagnoai.com","Park Lane Hospital                 56 Old Clifton Near Shahra-e-Iran, Opposite British Deputy High Commission Clifton Karachi.  Clifton  , karachi"
